trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,5,23.89933839999867,23.89933839999867,0.04242819999490166,0.10740740740740741,0.2611111111111111,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
1,0,1,0,5,31.15904800000135,31.15904800000135,0.03223549999529496,-0.03611111111111111,-0.08148148148148149,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
2,0,2,0,10,38.62587799999892,38.62587799999892,0.060932800006412435,0.11666666666666667,0.2972222222222222,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
3,0,3,0,10,41.344027999999525,41.344027999999525,0.0944277999951737,-0.13796296296296295,0.11944444444444445,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
4,0,4,0,5,42.85241800000222,42.85241800000222,0.04671049999888055,-0.44166666666666665,0.32685185185185184,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
5,0,5,0,5,45.09177510000154,45.09177510000154,0.03623619999416405,0.022222222222222223,0.3537037037037037,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
6,0,6,0,10,46.959181199999875,46.959181199999875,0.06197190000239061,0.05925925925925926,-0.3277777777777778,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
7,0,7,0,10,49.50197130000015,49.50197130000015,0.06187550000322517,-0.4925925925925926,0.4287037037037037,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
8,0,8,0,5,51.96595779999916,51.96595779999916,0.03032600000005914,-0.40370370370370373,0.1675925925925926,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
9,0,9,0,5,53.3940666999988,53.3940666999988,0.034578099999635015,-0.21666666666666667,0.4148148148148148,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
10,0,10,0,5,54.80811800000083,54.80811800000083,0.03523909999785246,-0.08796296296296297,-0.3731481481481482,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
11,0,11,0,5,57.26936760000535,57.26936760000535,0.031728399997518864,-0.3768518518518518,-0.37962962962962965,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
12,0,12,0,10,59.871372900001006,59.871372900001006,0.061010899997199886,-0.12314814814814815,0.07962962962962963,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
13,0,13,0,5,61.734292000001005,61.734292000001005,0.03199420000601094,-0.41574074074074074,0.3398148148148148,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
14,0,14,0,5,64.77498930000002,64.77498930000002,0.15363890000298852,0.20277777777777778,0.2759259259259259,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
15,0,15,0,5,66.1186979999984,66.1186979999984,0.0319082000060007,-0.44074074074074077,0.04814814814814815,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
16,0,16,0,10,67.95337410000502,67.95337410000502,0.06095180000556866,0.4,-0.4101851851851852,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
17,0,17,0,10,73.63852050000423,73.63852050000423,0.06179120000160765,0.32685185185185184,-0.175,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
18,0,18,0,10,76.8625125000035,76.8625125000035,0.06223070000123698,0.02962962962962963,-0.29259259259259257,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
19,0,19,0,10,80.7241867000048,80.7241867000048,0.06027840000024298,-0.18425925925925926,-0.2388888888888889,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
20,0,20,0,10,82.8556727000032,82.8556727000032,0.08606009999493835,0.18796296296296297,0.2,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
21,0,21,0,5,100.18581790000462,100.18581790000462,0.03190120000363095,0.08796296296296297,0.4685185185185185,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
22,0,22,0,5,101.36316449999867,101.36316449999867,0.03248699999676319,0.15555555555555556,0.20462962962962963,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
23,0,23,0,5,102.9799645000021,102.9799645000021,0.03309840000292752,0.29444444444444445,-0.15648148148148147,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
24,0,24,0,5,109.6448429000011,109.6448429000011,0.033615599997574463,0.3574074074074074,0.2712962962962963,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
25,0,25,0,10,111.08123940000223,111.08123940000223,0.06201339999824995,0.06574074074074074,-0.11018518518518519,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
26,0,26,0,5,112.72978700000385,112.72978700000385,0.03197079999517882,-0.30648148148148147,-0.1388888888888889,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
27,0,27,0,10,113.97975950000546,113.97975950000546,0.06144240000139689,0.20462962962962963,-0.4444444444444444,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
28,0,28,0,10,118.94857580000098,118.94857580000098,0.06194849999883445,-0.2212962962962963,0.13055555555555556,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
29,0,29,0,10,120.90341769999941,120.90341769999941,0.062130800004524644,-0.17777777777777778,0.0,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
30,0,30,0,10,130.32960029999958,130.32960029999958,0.06195860000298126,0.2490740740740741,-0.32685185185185184,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
31,0,31,0,5,136.04003250000096,136.04003250000096,0.031519899996055756,-0.30833333333333335,-0.28055555555555556,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
32,0,32,0,5,137.9392405000035,137.9392405000035,0.032802200003061444,0.2518518518518518,-0.24814814814814815,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
33,0,33,0,5,139.82258350000484,139.82258350000484,0.03263680000236491,0.28703703703703703,0.47685185185185186,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
34,0,34,0,10,142.55676450000465,142.55676450000465,0.06049180000263732,-0.030555555555555555,0.18518518518518517,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
35,0,35,0,10,144.93708770000376,144.93708770000376,0.05730999999650521,0.1712962962962963,-0.35833333333333334,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
36,0,36,0,5,148.93571180000436,148.93571180000436,0.0303254000027664,-0.04259259259259259,-0.47314814814814815,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
37,0,37,0,10,151.45762660000037,151.45762660000037,0.061545600001409184,-0.34629629629629627,-0.44166666666666665,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
38,0,38,0,5,153.9072587000046,153.9072587000046,0.031565500001306646,0.24722222222222223,-0.10925925925925926,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
39,0,39,0,10,156.40753840000252,156.40753840000252,0.06319089999306016,0.1814814814814815,0.40185185185185185,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
40,0,40,0,10,158.83993040000496,158.83993040000496,0.06112149999535177,0.014814814814814815,0.06759259259259259,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
41,0,41,0,5,160.41152000000147,160.41152000000147,0.03150219999952242,0.47962962962962963,-0.35648148148148145,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
42,0,42,0,10,162.7049049999987,162.7049049999987,0.06159279999701539,-0.30092592592592593,-0.15648148148148147,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
43,0,43,0,10,169.89823150000302,169.89823150000302,0.061086000001523644,-0.287962962962963,-0.325,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
44,0,44,0,5,172.86372490000213,172.86372490000213,0.031069800003024284,-0.3435185185185185,-0.175,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
45,0,45,0,10,178.40246879999904,178.40246879999904,0.06479209999815794,-0.3685185185185185,0.1388888888888889,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
46,0,46,0,5,180.14907870000025,180.14907870000025,0.031231599998136517,0.337037037037037,-0.30092592592592593,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
47,0,47,0,10,183.28395530000125,183.28395530000125,0.06159699999989243,0.25555555555555554,-0.49444444444444446,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
48,0,48,0,5,184.6882570000016,184.6882570000016,0.03178889999981038,0.41944444444444445,-0.3425925925925926,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
49,0,49,0,10,186.93264080000517,186.93264080000517,0.06131930000265129,-0.22314814814814815,-0.27870370370370373,1,0,0,target,180956,001,2023-09-26_13h18.21.492,visualsearch,2023.1.3,59.96749761663291,
